stop_name,stop_lat,stop_lon
Lasbek Barkhorst/Lindenallee,53.746413,10.3805025
Am Damm,53.6315069,10.0886845
Griegstraße,53.554643899999995,9.9081837
Lentföhrden Otterbraack,53.869019599999994,9.8907373
"Bad Oldesloe, Glinde 21-28",53.8031035,10.3129035
"Wedel, Hauentwiete",53.6034928,9.6787396
Kapelle 7,53.628386,10.045831
Voßloch,53.790283699999996,9.7349464
Struvenhütten Bentfurt,53.8655696,10.0267153
Averhoffstraße,53.570333999999995,10.0171549
Lasbek Barkhorst/Feuerwehr,53.7449381,10.37671
Hamburg-Neuland Schöpfwerk,53.468922,10.0016005
"Todendorf, Mehrzweckhaus",53.6935426,10.350056499999999
Kattendorf Weeden,53.839627699999994,10.0425937
Röpraredder,53.5098334,10.210253
Hans-Rubbert-Straße,53.565188899999995,10.1329693
"Uetersen, Tantaus Allee",53.687279999999994,9.67019
Poststraße,53.6380293,10.4096146
Mollhagen Sprenger Weg,53.703201799999995,10.3835997
"Glinde, Quellental",53.54062,10.19723
U S Sternschanze,53.563480000000006,9.965489999999999
"Tangstedt (OD), Gut Rethfurt",53.745224099999994,10.1218489
Richtweg,53.695982,9.9900281
Skaldenweg,53.6330052,10.1799008
"Bockhorn, Am Schillersberg",53.919303600000006,10.1368944
Container Terminal EUROGATE,53.523037699999996,9.924032799999999
"Lutzhorn, Wendlohe",53.8212486,9.7960008
Lütjensee Am Sportplatz,53.637661099999995,10.3603619
"Quickborn, Am Mühlenberg",53.7336028,9.8937645
Mittelstraße,53.838406,9.997308
Kaltenkirchen Anne-Frank-Weg,53.8433858,9.9571946
Schmalfeld Schmalfelder Au,53.88214,9.982009999999999
"Weddelbrook, Lohnkamp",53.8894344,9.8277323
Bernstorffstraße,53.560399999999994,9.959306999999999
Karlshöhe,53.6240532,10.1107108
Struvenhütten Bredenbekshorst,53.8644776,10.078447899999999
Susettestraße,53.5464705,9.925409
Indiastraße,53.5266825,9.9949412
Bekkamp,53.575897,10.143557999999999
"Alveslohe, Kaden",53.783589,9.947229799999999
"Elmshorn, Hamburger Straße",53.748495,9.6776715
Brookkoppel,53.837253,9.993284
"Ulzburg, Rudolf-Diesel-Straße (West)",53.8040349,9.9420292
Rambachstraße,53.5447096,9.975671199999999
Ochsenwerder Norderdeich 220,53.465526800000006,10.1130858
Allermöher Kirche,53.48209,10.1297
Rosenhof,53.6544545,9.8245007
"Hoisdorf, Am Eichenhain",53.659827,10.308739
Siedenfelder Weg (Mitte),53.494949999999996,10.02065
Tatenberger Schleuse,53.49709,10.077449999999999
Hammoor Alte Dorfstraße,53.7140783,10.3122045
"Nütschau, Schloßstraße",53.8222929,10.3177097
Dradenauer Deichweg,53.5112886,9.9003484
"Barsbüttel, Am Bondenholz",53.568995099999995,10.1796393
Fruteweg,53.571354799999995,9.7518823
"Oststeinbek, Stormarnstraße",53.54215,10.16959
"Tornesch, Aalkamp",53.69921,9.733469999999999
"Meilsdorf, Meilsdorfer Damm",53.61499,10.28211
Brande-Hörnerkirchen Barmstedter Straße 30,53.832675599999995,9.7287205
Dörpsweg,53.6111262,9.911632500000001
"Wulfsdorf, Allmende",53.66084,10.19667
"Ellerau, Vorderer Kamp",53.761159,9.9293017
"Glinde, Kupfermühlenweg",53.5522261,10.2050017
"Neuschönningstedt, Kalksandsteinwerk",53.545089999999995,10.25103
Hamburg Neßpriel,53.536154599999996,9.857999099999999
"Langeln, Hohenufer",53.793910399999994,9.846714
"Grabau (Oldesloe), Dorfstraße",53.804179999999995,10.27378
Rauchschwalbenweg,53.620813399999996,10.1427266
"Lutzhorn, Ölfeldstraße",53.8474599,9.7708654
"Mollhagen, Poststraße",53.7061123,10.383746900000002
Langobardenweg,53.635276,9.966932
"Lentföhrden, Kaltenkirchener Straße",53.8666905,9.888589999999999
Großensee(Kr Stormarn) Hamburger Straße,53.6156187,10.3410184
Schiffbeker Höhe,53.5473177,10.107820499999999
"Ahrensburg, Ahrensburger Kamp",53.6489641,10.2581621
"Nahe, Dorfstraße",53.795550500000004,10.1351664
"Schiphorst, Teich",53.707525499999996,10.4613597
Lütjensee Alte Schulstraße,53.6509581,10.3649481
