stop_name,stop_lat,stop_lon
Brookweg,53.825091,9.944379
"Rellingen, Klaus-Groth-Straße",53.659890399999995,9.835113699999999
"Garstedt, Zwijndrechtring",53.71109,9.98582
Hammoor Hoppenbrook,53.7082123,10.3177921
An der Krückau,53.827231,9.957798
"Ammersbek, Bramkampredder",53.705258799999996,10.2067406
Schulterblatt,53.563937499999994,9.961053099999999
Ellerau,53.750144,9.923374
"Heidgraben, Dorfstraße",53.709904099999996,9.6783257
Bargfeld-Stegen Steinklinken,53.768062,10.239063999999999
U Buchenkamp,53.653057999999994,10.186605
Grundschule,53.365973,10.127673
"Hüttblek, Hökerbarg",53.8398319,10.073423499999999
"Lutzhorn, Hinterm Holz",53.824908,9.766669600000002
"Quickborn, Ärztezentrum",53.735236799999996,9.9030638
Travenbrück-Vinzier Siedlung,53.816783,10.310528999999999
Ahrensburg West,53.6645878,10.2198107
Wakendorf II Schule,53.783609999999996,10.08314
Seumestraße,53.5729308,10.054793
"Stemwarde, Feuerwache",53.57042,10.242149999999999
Sprenge/Mittelweg,53.691440500000006,10.3897388
"Moorrege, Lehmkuhlweg",53.66229,9.69295
"Quickborn, Elsenseestraße",53.725807599999996,9.923969
Köhlbrandhöft,53.539893,9.938117
"Bad Oldesloe, Schanzenbarg 2",53.8090688,10.3990791
"Lutzhorn, Schule",53.8254308,9.7761859
"Quickborn-Heide, Lerchenweg",53.7532941,9.9389066
Maschen Gutenbergstraße,53.399662899999996,10.047451899999999
"Halstenbek, Heidkampstwiete",53.62348,9.82386
"Quickborn, Tangstedter Straße",53.723506699999994,9.8865944
"Ulzburg, Ulzburger Straße",53.804460999999996,9.984226999999999
"Ahrensburg, Pionierweg",53.645464,10.2206078
Braak Dorfstraße,53.610085399999996,10.2435507
"Lütjensee, Dornredder",53.654822499999995,10.3665235
Vogelhüttendeich,53.5159666,9.9934086
"Wedel, Hauentwiete",53.6034928,9.6787396
"Bargteheide, Schlehenbusch",53.728190399999995,10.2512931
Museum am Rothenbaum,53.5684292,9.9883743
Industriestraße,53.51705,9.98207
Hittfeld Theodor-Fontane-Straße,53.38494000000001,9.98946
"Garstedt, Harthagen",53.697706999999994,9.976737
"Großhansdorf, Rosenhof",53.6657285,10.2906087
Havighorster Redder (West),53.527615,10.135364
Talweg,53.3777623,9.9624171
Kisdorf Regel,53.816942399999995,10.054693499999999
Kamerunweg,53.5274526,9.9858367
Quickborn(Kr Pinneberg),53.728552,9.903668
Böttgerstraße,53.568486799999995,9.9955153
"Uetersen, Langes Tannen",53.69151,9.67607
Ohrnsweg,53.4739601,9.8215489
Kaltenkirchen Maybachstraße,53.817682,9.9681026
"Borstel, Brücke",53.6804317,9.8007265
"Bargteheide, Am Steinkreuz",53.733196,10.2691568
"Bargteheide, Breslauer Straße",53.7357194,10.2709908
Behnstraße,53.5460441,9.9430906
"Ahrenlohe, Hörnweg",53.708821799999996,9.7411576
"Tornesch, Fritz-Reuter-Schule",53.7023307,9.7182243
"Ahrensburg, Brombeerweg",53.640266999999994,10.212176999999999
"Quickborn, Rotdornweg (Nord)",53.733267299999994,9.9167451
Hartenholm Heuweg,53.8897714,10.0652581
"Reinbek, Sachsenwaldschule",53.5145503,10.2495844
"Moorrege, Grothar",53.6696295,9.6821717
"Pinneberg, Wedeler Weg",53.6576265,9.7777409
"Dammhausen, Dammhauser Straße 99",53.48852900000001,9.6674464
"Oststeinbek, Uferstraße",53.5411253,10.1701597
Eva-Rühmkorf-Straße,53.561437999999995,9.9405658
Zimmerstraße,53.5747833,10.015017499999999
"Neuschönningstedt, Tannenallee",53.554713899999996,10.2506626
Klinikum Nord (Heidberg),53.675331899999996,10.0283454
Fiskalische Straße (Energieberg),53.516170699999996,10.0203692
"Wohltorf, Vor den Hegen",53.518605199999996,10.3122291
"Quickborn, Eichenweg",53.7283784,9.9180478
Altonaer Poststraße,53.5499272,9.9404526
"Ahrensburg, Norderoogstieg",53.68927,10.25048
"Maschen, Am Alten Sportplatz",53.3813025,10.036471500000001
Haempten,53.5118363,10.1928839
"Klein Hansdorf, Am Wischhof",53.720317699999995,10.2130195
Große Straße,53.45052,9.92382
Bargfeld-Stegen Brooklande,53.770027,10.186077
Oststeinbeker Weg (Mitte),53.5384211,10.140043499999999
"Holm, Schulstraße",53.6209254,9.6725775
"Reinbek, Büchsenschinken",53.5609028,10.2897682
"Hoisdorf, Bahnhofstraße",53.6451315,10.3302715
Davidstraße,53.549584599999996,9.9616502
"Henstedt, Ostpreußenstraße",53.78969,9.995429999999999
Quickborn Süd,53.7229959,9.9074606
"Barmstedt, Königsberger Straße",53.79918,9.76769
Kattendorf Feuerwehr,53.843628499999994,10.0235343
"Ellerhoop, Thiensener Weg",53.7287792,9.771900900000002
